Place,timestamp,Murder,Robbery,wheeler theft,Assault,Kidnap,Latitude,Longitude
"NO NIL, KUMARA RENT HOUSE, SMASANA ROAD BURIYAL GROUND ROAD CHUNCHAGHTA MAIN ROAD BANGLORE",28-02-2020 17:00,1,0,0,0,0,12.90714279,77.53486998
NO 30.1`ST MAIN 1ST CROSS KAKIYANAGARA NAIDU LAYOUT CHIKKALSANDRA BANGLORE CITY -61,28-02-2020 20:30,1,0,0,0,0,12.90245473,77.54181407
NO NEAR LABOUR SHED GUBLALA GE KANAKA PURA MIAN ROAD DODDAKALASANDRA BANGLORE -62,05-03-2020 07:30,1,0,0,0,0,12.88563257,77.5482591
NO ITTUMADU MAIN ROAD AGS LAYOUT BANGLORE 61,03-03-2020 16:10,1,0,0,0,0,12.88948381,77.56232091
"NO SEURITY GURD HOUSE FRONT, NEAR MARUTHI LAYOUT PARK 80FEET ROAD MARUTHI LAYOT VASANTHPURA BANGORE 61",01-03-2020 18:25,1,0,0,0,0,12.90108207,77.54753806
NO 36. 1ST MAIN 3RD CROSS JAYARAJA BI;DING KENGERI MAIN ROAD HEMAVHI LAYOUT BANGLORE 61,28-02-2020 08:40,1,0,0,0,0,12.9057223,77.53558126
NO NEAR CANARA BANK KONANAKUNTE CROSS BANGLORE,06-03-2020 15:20,1,0,0,0,0,12.88289563,77.56647782
EMPTY SITE BIHIND ISCON TEMPLE YADALAMANAGARA BANGLORE 61,03-03-2020 11:20,1,0,0,0,0,12.8967726,77.5445644
NO 637. JI RAJESHAWARI NILAYA 2ND FLOOR 7 C CROSS SINDICE BANK ROAD VALLABHANAGARA DOADDAKALSANADRA BANGLORE,03-03-2020 16:00,1,0,0,0,0,12.91082367,77.54398174
"PRHANA SCHOOL , NEAR TIRUMALA MESS & BEKARI CHIKKLASANDRA BANGLORE",28-02-2020 15:00,1,0,0,0,0,12.913512,77.554144
NO 20/4. 4TH CROSS FLOWER DECORION GOWDANA AREHALLI BANGLORE,05-03-2020 03:30,1,0,0,0,0,12.91084893,77.53745649
"BDA Layout, BSK 6th Ste, Lingadinahalli, Bengaluru.",07-03-2020 10:35,1,0,0,0,0,12.87583,77.511157
"Bhuvaneshvari Nagra, Gubbalal, Bangalore.",28-02-2020 15:50,1,0,0,0,0,12.894725,77.542178
"No.26/19, 3rd Cross, 2nd Maim Tippasandra, Bangalore.",05-03-2020 19:10,1,0,0,0,0,12.874853,77.554205
"No.1014, 4th ""T"" Block, Manovarte kaval, Banashankari 6th Stage, Bangalore.",07-03-2020 18:05,1,0,0,0,0,12.860873,77.520947
"New Construction Eligant Apt, Pipeline Road, Vrushabhavi Nagar, BSK 6th Stage, Bangalore.",07-03-2020 16:00,1,0,0,0,0,12.864755,77.528047
"No.28/7, Govindappa Building, 2nd Floor, Library Road, 3rd Cross, Talaghtapura, Bangalore.",05-03-2020 18:15,1,0,0,0,0,12.871198,77.536856
"No.01, 24th Main, 4th Block, BDA Layout, Lal Bahaddura Shastrinagar, Anjanapura Post, Bangalore.",07-03-2020 10:35,1,0,0,0,0,12.853954,77.553705
"BDA Road, Avalahalli, 2nd Block, 9th Phase, JP Nagar, Bangalore.",03-03-2020 19:45,1,0,0,0,0,12.870574,77.571346
"Chandana Aunty House, Back Side of Asian School, Balagi Lay out, Thalaghtapura, Bengaluru City",28-02-2020 14:25,1,0,0,0,0,12879498,77.542792
"100 Feet Road, Front of Bairaveshavar Tendors Reshmenagar, GanigaraPlaya Bangalore.",05-03-2020 14:00,1,0,0,0,0,12.87548,77.535128
"80 Feet Road, BDA Layout, Lalabahaddur Shastri Nagar, Anjanapura post, Bangalore.",04-03-2020 22:00,1,0,0,0,0,12.870129,77.556345
"Site No.72, Astalaxmi Layout, Hosahalli Bangalore.",03-03-2020 17:50,1,0,0,0,0,12.878193,77.535515
"Site No.72, Astalaxmi Layout, Hosahalli Bangalore.",05-03-2020 12:10,1,0,0,0,0,12.848726,77.572816
"Tejas Cement Godown, Gurusiddeshvara Theer, Avalahalli, Anjanapura Post, Bangalore.",28-02-2020 11:55,1,0,0,0,0,12.872393,77.557753
"BDA Quarters, Avalahalli, Anajanapura Post, Bangalore.",07-03-2020 21:10,1,0,0,0,0,12.871255,77.56033
"80 Feet Road, Near KSIT College, Raghuvanahalli, Bengaluru City",03-03-2020 19:45,1,0,0,0,0,12.879671,77.54543
"Near campound, 80 feet road, 3 th block , Bangalore.",06-03-2020 10:10,1,0,0,0,0,12.859739,77.562719
"No-491, 13th main, G block, Anjanapura, B.D.A Layout, Bangalore.",04-03-2020 20:00,1,0,0,0,0,12.862041,77.563487
"Vinayaka Nagara, 2 th Main, Gubbalala, Subramanyapura, Bangalore.",05-03-2020 14:55,1,0,0,0,0,12.893051,77.543007
"Harinagar cross,kothanur main road,konanakunte",03-03-2020 21:20,1,0,0,0,0,12.879223,77.567169
"Telephone exchange road,new bank calony",04-03-2020 08:30,1,0,0,0,0,12.882152,77.565325
"Muneshwara layout ,wavers calony ,bangalore",01-03-2020 19:50,1,0,0,0,0,12.84488,77.583729
"6th main ganaphipura,chunchaghta main road bangalore",28-02-2020 11:00,1,0,0,0,0,12.890277,77.57144
"Beside of harishachandra home near anad medical store ,chunchaghta main road ,bangalore",07-03-2020 17:00,1,0,0,0,0,12.885583,77.57054
"No 3,3rd cross opp RR bar and resturent ,chunchaghta main road beereshwara nagar ,bangalore-62",7/3/2020 17.28,1,0,0,0,0,12.889932,77.57465
"Security guard room,sushila residency 4th main ,1st cross royal county ,jp nagar 8th phase bangalore-83",01-03-2020 12:05,1,0,0,0,0,12.861345,77.579767
"Infront of Chaitra bar,7th cross weavers calony bangalore-",28-02-2020 15:00,1,0,0,0,0,12.845887,77.583885
"Near kothanur lake ,kteramma layout ,kothanur village bangalore-",01-03-2020 11:45,1,0,0,0,0,12.873733,77.579546
"Infront Of KVM Industries,St.Anthony Industrial, Jaraganahalli,JP Nagar, Bengaluru",01-03-2020 16:20,1,0,0,0,0,"12°53'59.96""N","77°34'25.59""E"
"SITE NO 165/B 5TH MAIN CLASSIC ARCHID LAY OUT, J P NAGARA, Bengaluru",04-03-2020 21:00,1,0,0,0,0,12.875176,77.57889
"No 96, Govindappa Building, Annayappa Garden, Jaraganahalli J P Nagara 6th
Phase, Bengaluru City",28-02-2020 19:00,1,0,0,0,0,12.898898,77.576405
"Narayana Swamy's Thotada Mane,, Shamanna Garden JP Nagara 5th Phase,
Bengaluru City,",05-03-2020 15:40,1,0,0,0,0,12.906331,77.59179
"BBMP Office Terrace, Ward NO 187, Doresanipalya, Bengaluru City",01-03-2020 00:55,1,0,0,0,0,12.90903,77.58764
"No 8/1 20th Main 19th Cross, Rajagopalareddy Layout J P Nagar 5th Phase,
Bengaluru City,",06-03-2020 14:30,1,0,0,0,0,12.906448,77.587569
"ELITA PROMANADE APARTMENT, JP NAGAR 7TH PHASE, Bengaluru City",01-03-2020 15:35,1,0,0,0,0,12.89643,77.578607
"NO-41, 1ST FLOOR, MAKKA MASZID ROAD, 4TH MAIN, VINAYAKA NAGARA,
JP NAGARA 5TH PHASE, Bengaluru City",06-03-2020 11:30,1,0,0,0,0,12.901612,77.586583
"Honganoor Village, Chennapna Tq, Ramanagar Dist(Missing From 847, 51st Main, 25th Cross, K.S.Layout, Bvangalore)",05-03-2020 20:00,1,0,0,0,0,12.89667299,77.56075138
"No 27, 2nd Main, Knakapura Main Road, Ramakrishnanagar, Bangalore",28-02-2020 17:00,1,0,0,0,0,12.90509645,77.571337
"Near Metro Stion, Sarakki Signal, J.P.Nagar, Bangalore",04-03-2020 19:05,1,0,0,0,0,12.90769453,77.57198522
"No 3276, 1st Floor, 5th Cross, 8th Main, Near Om Shakthi Temple, Chandranagar, Bangalore",28-02-2020 10:15,1,0,0,0,0,12.90089276,77.56988137
"12th Cross, K.S.Layout, Chandranagar, Bangalore",04-03-2020 23:05,1,0,0,0,0,12.90233856,77.56532528
"Hari Colony, Banashankari, Bangalore",28-02-2020 21:45,1,0,0,0,0,12.91449059,77.57210648
"No 27, 1st Floor, 11th Cross, Bendrenagar, Bangalore",03-03-2020 13:00,1,0,0,0,0,12.91054686,77.56074553
"Old Alfa Factory Kashinagar, Bangalore",28-02-2020 19:00,1,0,0,0,0,12.89939856,77.57258495
"Pooja Apts, 2nd Main, Najnappa Layout, Yelachenahalli, Bangalore",03-03-2020 03:15,1,0,0,0,0,12.90233333,77.5689282
"No 587, 8th Cross, Praghipura, Bangalore",28-02-2020 13:00,1,0,0,0,0,12.91436911,77.57331064
"Near RK Bar & Restourant, Kadirenahalli, Bangalore",01-03-2020 20:45,1,0,0,0,0,12.91553593,77.56162582
"Gangothri Pavithra Pyaradise Building, Indian Oil Petrol Bunk, Uttarahalli Main Road, Bangalore",28-02-2020 22:10,1,0,0,0,0,12.91420724,77.5618648
"HT Line Road, Iliyasnagar, K.S.Layout, Bangalore",01-03-2020 20:45,1,0,0,0,0,12.90617125,77.56984584
"No 522, Bike Turning Centre Garage, Umarbangh Layout, Iliyasnagar, 100 Feet Ring Road, Bangalore",01-03-2020 16:05,1,0,0,0,0,12.89645157,77.56024331
"ANANTHARAMU LAND VEERABHADRANAGARA GUDDE, BSK 3RD STGE,
Bengaluru City, Karnaka, 560085",01-03-2020 16:40,1,0,0,0,0,12.937792,77.537268
"NO 5, 21ST MAIN GIRINAGAR BSK 3RD STAGE B-85",28-02-2020 00:00,1,0,0,0,0,12.939585,77.544317
"NO 32, SHARADA SHEVASHRAMA ASHRAMA OPP PES COLLEGE VEERABHADRANAGAR BSK 3RD STAGE B-85",03-03-2020 15:30,1,0,0,0,0,12.937792,77.537268
"NO-1227, 5TH COSS, 17TH MAIN, MUNESHWAR BLOCK, Bengaluru City,
Karnaka, 560085",28-02-2020 22:00,1,0,0,0,0,12.93586,77.54388
"TEJESH CEMENT GODOWN, NEAR GURUSIDDESWAR THEER,
AVALAHALLI, ANJANAPURA, Bengaluru City, Karnaka,",01-03-2020 14:30,1,0,0,0,0,12.946026,77.544111
"CYBER CAFE, NEAR RAGHAVENDRAMUTT, GIRINAGAR, Bengaluru City,
Karnaka, 560085",03-03-2020 17:40,1,0,0,0,0,12.940271,77.542692
"kempegowda swimming pool opp,lakshimipura, k.g. nagar bangalore",04-03-2020 21:30,1,0,0,0,0,12.94865677,77.56227641
"NO.210 2nd cross, D.T. EXT, KG Nagar Bangalore",04-03-2020 19:05,1,0,0,0,0,12.94953,77.56316
"Sanyashikuntte Quras, K.G. nagar Main Road, bangalore-19",28-02-2020 08:40,1,0,0,0,0,12.94953,77.56316
"Near maruthi transport, 4th main, nt pet, b-lore",28-02-2020 14:15,1,0,0,0,0,12.96053995,77.57161726
"No 10, 1st main, 2nd cross, MV Lane, Parvhipura, B-lore",28-02-2020 14:25,1,0,0,0,0,12.95608437,77.57561273
"under Metro fly over, VV Puram, B-lore",28-02-2020 15:50,1,0,0,0,0,12.94870298,77.5787416
"Near Room No 404, Trishala hotel, Sajjan rao road, VV Puram, B-lore",28-02-2020 17:00,1,0,0,0,0,12.94863301,77.57586657
"IN FORNT OF KAMALA NURSING HOME, HANUMANTHNAGAR, Bengaluru City",04-03-2020 22:00,1,0,0,0,0,12.564056,77.333036
"Near PES College Srinagar, Bengaluru, Bengaluru City, Karnaka, 560050",05-03-2020 13:30,1,0,0,0,0,12.941281,77.55467
"Near Udaya Ravi Studio, Kalappa Block, Srinagar, Bengaluru City, Karnaka,",7/3/2020 16.42 ,1,0,0,0,0,12.94725,77.55428
"Near Shekar Hospital, Gavipuram Extention, Hanumantha Nagar, Bengaluru City,",28-02-2020 19:05,1,0,0,0,0,12.945897,77.567461
"No.54,1st Main, 1st Cross, Kalidasa Layout, Srinagar, Bengaluru City, Karnaka,",01-03-2020 12:00,1,0,0,0,0,12.94885,77.55255
"No. 33, 6th Main, 5th Cross, Laksmnappa Garden, BSK 3rd Stage, Bangalore.",04-03-2020 08:30,1,0,0,0,0,12.928925,77.56106
"Ramakrishna Tent House, Khriguppe, BSK 3rd Stage, Bangalore-85.",28-02-2020 22:30,1,0,0,0,0,12.929754,77.551246
"2nd Main Road, Siddartha Layout, Khriguppe, BSK 3rd Stage, Bngalore-85.",28-02-2020 22:00,1,0,0,0,0,12.930313,77.554418
"No. 17, 4th Cross, Anjaneyanagar, behind Srinivasa Choultry, Ittamadu, BSK 3rd Stage, Bangalore-85.",01-03-2020 15:30,1,0,0,0,0,12.926431,77.544097
"NO. 95, 5th main, Khriguppe East, BSK 3rd Stage, Bangalore-85.",03-03-2020 16:00,1,0,0,0,0,12.9289,77.554688
"infront of BBMP Office Both Room Building, C.K. Achuktu, BSK 3rd Stage, Bangalore-85.",05-03-2020 19:30,1,0,0,0,0,12.930848,77.562656
"Anjaneya Temple Road, Balajinagar, Ittamadu, BSK 3rd Stage, Bangalore-85.",03-03-2020 22:50,1,0,0,0,0,12.920708,77.545062
"No. 14, 14th Cross, T.G. Layout, Ittamadu, BSK 3rd Stage, Bangalore-85.",07-03-2020 18:05,1,0,0,0,0,12.921084,77.540512
"No. 76/77, 8th Cross, Bhovi Colony, T.R. Nagar, Bangalore-28",28-02-2020 03:30,1,0,0,0,0,12.931413,77.566018
"Infront of Balaji Traders, C.K. Textiles, Ittamadu Main Road, BSK 3rd Stage, Bangalore-85.",07-03-2020 03:50,1,0,0,0,0,12.920844,77.543006
"No. 277, 3rd Cross, Manjunha Nagar, Ittamadu, BSK 3rd Stage, Bangalore-85.",07-03-2020 03:50,1,0,0,0,0,12.923045,77.541396
"NO. 110/15, 2nd Main, P.P. Layout, BSK 3rd Stage, Bangalore-85.",05-03-2020 19:45,1,0,0,0,0,12.93336,77.550661
"No 556, 10th A Main road, 35th Cross, 5th Block, Jayanagara Bangalore",28-02-2020 22:00,0,0,0,1,0,12.971599,77.594563
"Banashankari Circle, Kanakapura Main Road Bangalore",28-02-2020 14:10,0,0,0,1,0,12.80642,77.52537
"House No.19 Near
Jaraganahalli Park, Jp
nagara 6th Phase,
Bengaluru City,
Karnaka-560078",05-03-2020 22:00,0,0,0,1,0,12.88605,77.494843
"Near Ragavendra Temple, 46th Cross, Jayanagara 5th Block Bangalore",05-03-2020 19:05,0,0,0,1,0,12.921755,77.588346
"18th Main, 36th F Cross Jayanagara 4th T Block Bangalore",28-02-2020 22:10,0,0,0,1,0,12.922076,77.5589539
"Illunoise Pvt. Ltd, No. 121/24, 7th B Main, 13th Cross, Jayanagara 4th Block Bangalore",05-03-2020 12:10,0,0,0,1,0,12.835635,77.653354
"No-466, 8th B Main road 4th Block Jayanagar Bangalore",04-03-2020 23:05,0,0,0,1,0,12.925635,77.583354
"Kanakapura main road, Infront of Modern Tiles, Near JSS Circle, 7th Block Jayanagar Bangalore",01-03-2020 14:30,0,0,0,1,0,12.28784,76.63313
"Shakambari Nagara, RR Nagara Slum, Kanakapura Main Road, Opp Banashankari Temple Bangalore",07-03-2020 12:50,0,0,0,1,0,12.79642,77.50537
"BEHIND MARIYAMMA TEMPLE, SHAKHAMBARI NAGAR Bangalore",28-02-2020 19:00,0,0,0,1,0,12.93443,77.592697
"K R Road, Top of the Under Pass. Near Basavanagudi",07-03-2020 19:05,0,0,0,1,0,12.943773,77.573418
"No 51, Embessy Apartment, K R Road, Basavanagudi , Bangalore.",01-03-2020 12:00,0,0,0,1,0,12.941212,77.57344
"Sout End Road, Nagasandra Circle Down,Basavanagudi , Bangalore.",28-02-2020 15:00,0,0,0,1,0,12.941716,77.573891
"No,503 Ram mandir road Near Trinity hospital, Basavanagudi , Bangalore.",01-03-2020 01:45,0,0,0,1,0,12.94452287,77.5788835
"No.8/2,8/3, Palamma Temple Road,Basavanagudi , Bangalore.",06-03-2020 14:30,0,0,0,1,0,12.941946,77.574073
"Near No.4/228, 3rd Main Road, Ta Silk Form, Basavanagudi , Bangalore.",05-03-2020 21:40,0,0,0,1,0,12.935305,77.572075
"Mokambika School, Basavanagudi , Bangalore.",01-03-2020 18:35,0,0,0,1,0,12.93699,77.566649
"Shivasagr hotel Near xerox shop, Basavanagudi , Bangalore.",04-03-2020 21:00,0,0,0,1,0,12.944247,77.572678
"South Tindis, Kariyappa Road, Basavanagudi , Bangalore.",05-03-2020 19:45,0,0,0,1,0,12.938602,77.575583
"No61, Uday, Govidappa Road,Basavanagudi , Bangalore.",28-02-2020 18:00,0,0,0,1,0,12.946432,77.578244
"Dodda Ganaphi Temple compound inside,Basavanagudi , Bangalore.",07-03-2020 12:50,0,0,0,1,0,12.942962,77.568212
"Cube No 7A054 7th floor
Oracle software company,
krishna magnum
Doresanipalya arkere
micolayout, Bengaluru City,
Karnaka-5600762",28-02-2020 03:30,0,0,0,1,0,12.9071234,77.5772499
"22nd Cross, Jayanagara 6th Block Bangalore",28-02-2020 15:50,0,0,0,1,0,12.9021964,77.5472
"111 20th cross, KR
Layout jpnagar 6th phase,
Bengaluru City",05-03-2020 06:15,0,0,0,1,0,12.9047055,77.5868222
"NERA GKM
COLLEAGE GROUND,
RAJIVGANDHI ROAD",05-03-2020 00:45,0,0,0,1,0,12.8996863,77.5719224
"Near HDFC Ltd Door,
No-40, Old No-1383/1384,,
East End E' Main,
Jayanagar 9th Block,
Bengaluru City,",05-03-2020 03:30,0,0,0,1,0,12.91655,77.5945793
"Opp Cool Joint Bekari,
Near Jaraganahalli Park,,
JP Nagar 6th Phase,
Bengaluru City,
Karnaka-560078",01-03-2020 14:30,0,0,0,1,0,12.9165477,77.5617482
"HT Line Road, Iliyasnagar, K.S.Layout, Bangalore",01-03-2020 15:35,0,0,0,1,0,12.9111818,77.5739301
"Club, 2nd floor, beside
Davanagere benne dose,
building, Kanakapura main
road jpnagar Ist phase,
Bengaluru City,
Karnaka-560078",07-03-2020 16:15,0,0,0,1,0,12.8896959,77.543055
"Near Siddalingeshwara
Theer Jp Nagara, 6th
Phase, Bengaluru City,
Karnaka-560078",03-03-2020 23:10,0,0,0,1,0,12.9036647,77.5785439
"Near HDFC Bank M,
9th Cross,, JP Nagar 1st
Phase, Bengaluru City,
Karnaka-560078",01-03-2020 15:15,0,0,0,1,0,12.9423522,77.5027961
"3rd main road, dhanapal
reddy house road,, Sarakki,
JP Nagar 1st phase,
Bengaluru City,
Karnaka-560078",05-03-2020 10:00,0,0,0,1,0,12.909427,77.5706543
"KEB Road, Near
Sindhura Kalyana Mantapa,
J P Nagar 1st Phase,
Bengaluru City,
Karnaka",28-02-2020 14:25,0,0,0,1,0,12.9093248,77.5591563
"Akshaya bar, J P Nagar
7th Phase, Bengaluru City,
Karnaka",07-03-2020 12:20,0,0,0,1,0,12.8879049,77.5774295
"Near Bekary, Opp
Diwakar Hospital, 9th Cross,
J P Nagar 2nd Phase,
Bengaluru City,
Karnaka-560078",28-02-2020 03:00,0,0,0,1,0,12.8879043,77.5621085
"NEAR MOSQUE, 7TH
MAIN, RAGIGUDDA
SLUM, J P NAGAR 2ND
PHASE, Bengaluru City,
Karnaka",01-03-2020 11:45,0,0,0,1,0,12.8879031,77.5621085
"11th main,9th cross,My
drive service stion, J P
Nagar 1st phase, Bengaluru
City,
Karnaka-560078",04-03-2020 22:00,0,0,0,1,0,12.9105665,77.571023
"NO.281/1, 1ST FLOOR,
9TH MAIN, 7TH CROSS,
BEHIND, SHAKAMBARI
TEMPLE,SHAKAMBARINAGAR, JPNAGAR 1ST PHASE, BANGALORE, KARNAKA.",04-03-2020 21:00,0,0,0,1,0,12.9125802,77.5731949
"IN FRONT OF SHOP,
BESIDE MILKBOOTH,OPP
PETROL BUNK, 9TH
CROSS, J P NAGAR 2ND
PHASE, Bengaluru City,
Karnaka",28-02-2020 22:00,0,0,0,1,0,12.9125802,77.5731949
"In front of Sri Balaji
Provision Store, No 16/5,,
14th E Cross, Near
Sindhura Convention Hall,
Jpn, Bengaluru City,
Karnaka-560078",28-02-2020 03:30,0,0,0,1,0,12.9263748,77.5664358
"25TH MAIN, LIC
COLONY,, J P NAGAR 1ST PHASE, Bengaluru City, KARNAKA",28-02-2020 19:00,0,0,0,1,0,12.9122435,77.5829634
"HKS SHASTRY,
NO.1835/A, 34TH CROSS,,
BSK 2ND STAGE,
Bengaluru City,
Karnaka",28-02-2020 21:15,0,0,0,1,0,12.9204433,77.5663689
"Ambhedkar Nagar,,
Banashankari 2nd Stage,
Bengaluru City,",05-03-2020 23:10,0,0,0,1,0,"12°55'3.64""N","77°33'49.98""E"
"BANASHANKARTI
TRAFFIC SINGAL, NAER
BMTC BUS STAND,
BANASHANKARI 2ND
STAGE, Bengaluru City,",28-02-2020 12:00,0,0,0,1,0,"12°55'3.12""N","77°34'24.16""E"
